dqn          86.020±3.16    0.163±0.00    1.732±0.04    0.136±0.00      0.096±0.00    0.403±0.01     74.344±134.41
ppo          85.765±2.81    0.163±0.00    1.737±0.04    0.136±0.00      0.097±0.00    0.404±0.01    195.730±409.25
mappo        86.016±2.59    0.161±0.00    1.727±0.03    0.136±0.00      0.096±0.00    0.395±0.01      5.747±0.14
cto         118.377±1.86    0.171±0.00    1.448±0.03    0.094±0.00      0.087±0.00    0.188±0.01     10.752±0.36
wrote/merged CSVs + series -> figures/python figures/convergence/
wrote plot exports -> figures/python figures/convergence/plot_data.mat (+ .pkl/.npz)
plotting: ['causal', 'ucb', 'dts', 'gdo', 'dqn', 'ppo', 'mappo', 'cto']
comm model: users=25 RTT=0.5ms R_ctrl=2e+06bps
resource allocation (per-algo median ms/slot): causal=0.94, ucb=0.99, dts=1.12, gdo=1.16, dqn=1.16, ppo=1.11, mappo=1.00, cto=1.07
warning: dqn.update_ms max/median=52.1x (max=306.08, median=5.87); runtime bar uses median
warning: ppo.update_ms max/median=234.2x (max=918.71, median=3.92); runtime bar uses median
wrote plots -> figures/python figures/convergence/
runtime stack -> figures/python figures/convergence/runtime.png
runtime compute -> figures/python figures/convergence/runtime_compute.png
mean bars -> 6 files (*_bar.png)
wrote plot exports -> figures/python figures/convergence/plot_data.mat (+ .pkl/.npz)
