slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
0,13,38,-46.43,0.0000,2
0,13,39,-40.06,0.0001,2
0,13,40,-31.39,0.0010,2
0,13,41,-47.93,0.0000,2
0,14,0,-69.24,0.0000,2
0,14,1,-55.09,0.0000,2
0,14,2,-29.97,0.0015,2
0,14,3,-57.78,0.0000,2
0,14,4,-37.36,0.0003,2
0,14,5,-55.26,0.0000,2
0,14,6,-29.55,0.0016,2
0,14,7,-23.85,0.0059,2
0,14,8,-26.71,0.0031,2
0,14,9,-45.93,0.0000,2
0,14,10,-28.34,0.0021,2
0,14,11,-0.61,0.9027,2
0,14,12,-27.64,0.0025,2
0,14,13,-24.79,0.0048,2
0,14,14,-36.63,0.0003,2
0,14,15,-30.58,0.0013,2
0,14,16,-29.69,0.0015,2
0,14,17,-44.81,0.0000,2
0,14,18,-38.75,0.0002,2
0,14,19,-31.49,0.0010,2
0,14,20,-40.59,0.0001,2
0,14,21,-21.16,0.0110,2
0,14,22,-48.13,0.0000,2
0,14,23,-24.47,0.0052,2
0,14,24,-39.10,0.0002,2
0,14,25,-17.30,0.0266,2
0,14,26,-54.32,0.0000,2
0,14,27,-27.99,0.0023,2
0,14,28,-36.39,0.0003,2
0,14,29,5.01,2.0597,2
0,14,30,-17.53,0.0252,2
0,14,31,-22.61,0.0079,2
0,14,32,-50.72,0.0000,2
0,14,33,-51.68,0.0000,2
0,14,34,-26.03,0.0036,2
0,14,35,-8.49,0.1910,2
0,14,36,-45.22,0.0000,2
0,14,37,-55.81,0.0000,2
0,14,38,-31.38,0.0010,2
0,14,39,-25.11,0.0044,2
0,14,40,-49.94,0.0000,2
0,14,41,-34.18,0.0006,2
0,15,0,-11.52,0.0983,2
0,15,1,-48.16,0.0000,2
0,15,2,-24.22,0.0054,2
0,15,3,-13.14,0.0684,2
0,15,4,-9.67,0.1478,2
0,15,5,-8.38,0.1956,2
0,15,6,-7.92,0.2159,2
0,15,7,-1.62,0.7563,2
0,15,8,-18.97,0.0182,2
0,15,9,-14.77,0.0473,2
0,15,10,-18.90,0.0185,2
0,15,11,3.47,1.6878,2
0,15,12,-18.32,0.0211,2
0,15,13,-20.68,0.0123,2
0,15,14,-10.22,0.1311,2
0,15,15,-47.39,0.0000,2
0,15,16,-38.05,0.0002,2
0,15,17,-34.94,0.0005,2
0,15,18,-24.78,0.0048,2
0,15,19,-29.32,0.0017,2
0,15,20,-5.06,0.3918,2
0,15,21,-36.36,0.0003,2
0,15,22,-29.30,0.0017,2
0,15,23,-9.48,0.1541,2
0,15,24,-15.84,0.0371,2
0,15,25,-31.15,0.0011,2
0,15,26,0.82,1.1427,2
0,15,27,-10.64,0.1194,2
0,15,28,-6.94,0.2660,2
0,15,29,-8.04,0.2103,2
0,15,30,94.18,31.2850,2
0,15,31,9.33,3.2585,2
0,15,32,9.15,3.2055,2
0,15,33,56.11,18.6402,2
0,15,34,-20.13,0.0139,2
0,15,35,43.22,14.3585,2
0,15,36,-17.35,0.0263,2
0,15,37,-18.85,0.0187,2
0,15,38,-19.30,0.0169,2
0,15,39,-6.95,0.2652,2
0,15,40,-10.64,0.1195,2
0,15,41,-20.64,0.0124,2
0,16,0,-56.23,0.0000,2
0,16,1,-44.01,0.0001,2
0,16,2,-47.42,0.0000,2
0,16,3,-38.82,0.0002,2
0,16,4,-53.22,0.0000,2
0,16,5,-60.21,0.0000,2
0,16,6,-49.51,0.0000,2
0,16,7,-28.08,0.0022,2
0,16,8,-55.09,0.0000,2
0,16,9,-46.31,0.0000,2
0,16,10,-43.97,0.0001,2
0,16,11,-16.28,0.0336,2
0,16,12,-37.50,0.0003,2
